prompt,completion
"Suggest a superhero name for a cat.","Captain Sharpclaw"
"Suggest a superhero name for a dog.","Mighty Barkman"
"Suggest a superhero name for an elephant.","Thunder Stomper"
"Suggest a superhero name for a tiger.","Stripeslasher"
"Suggest a superhero name for a lion.","Roaring King"
"Suggest a superhero name for a bear.","Grizzly Guardian"
"Suggest a superhero name for an eagle.","Sky Soarer"
"Suggest a superhero name for a dolphin.","Aquatic Avenger"
"Suggest a superhero name for a gorilla.","Jungle Juggernaut"
"Suggest a superhero name for a cheetah.","Swift Sprinter"
"Suggest a superhero name for a penguin.","Frosty Flapper"
"Suggest a superhero name for a kangaroo.","Bounding Bouncer"
"Suggest a superhero name for a snake.","Serpent Sentinel"
"Suggest a superhero name for an owl.","Nightwatch"
"Suggest a superhero name for a horse.","Galloping Guardian"
"Suggest a superhero name for a falcon.","Winged Warrior"
"Suggest a superhero name for an octopus.","Tentacle Titan"
"Suggest a superhero name for a wolf.","Moon Howler"
"Suggest a superhero name for a turtle.","Shell Shield"
"Suggest a superhero name for a bat.","Nightflyer"
"Suggest a superhero name for a shark.","Fin Fighter"
"Suggest a superhero name for a rabbit.","Speed Hopper"
"Suggest a superhero name for a spider.","Web Weaver"
"Suggest a superhero name for a giraffe.","Towering Defender"
"Suggest a superhero name for a koala.","Eucalyptus Enforcer"
"Suggest a superhero name for a peacock.","Vibrant Plumage"
"Suggest a superhero name for a hippopotamus.","River Rampager"
"Suggest a superhero name for a fox.","Cunning Vixen"
"Suggest a superhero name for a chimpanzee.","Intelligent Imp"
"Suggest a superhero name for an owl.","Wisdom's Wing"
"Suggest a superhero name for a panda.","Bamboo Guardian"
"Suggest a superhero name for a sloth.","Slumbering Sentinel"
"Suggest a superhero name for a gazelle.","Swift Hoof"
"Suggest a superhero name for a lizard.","Scale Defender"
"Suggest a superhero name for a rhino.","Horned Protector"
"Suggest a superhero name for a butterfly.","Rainbow Wing"
"Suggest a superhero name for a hedgehog.","Prickly Avenger"
"Suggest a superhero name for a squirrel.","Nutty Dynamo"
"Suggest a superhero name for a polar bear.","Arctic Guardian"
"Suggest a superhero name for a jaguar.","Stealth Striker"
"Suggest a superhero name for a kangaroo.","Jumping Juggernaut"
"Suggest a superhero name for a duck.","Quack Crusader"
"Suggest a superhero name for an ostrich.","Speed Feather"
"Suggest a superhero name for a gorilla.","Mighty Grappler"
"Suggest a superhero name for a crab.","Shell Crusher"
"Suggest a superhero name for a giraffe.","Spotted Sentinel"
"Suggest a superhero name for a crocodile.","Jaws of Justice"
"Suggest a superhero name for a penguin.","Ice Slide"
"Suggest a superhero name for a koala.","Leaf Leaper"
"Suggest a superhero name for a raccoon.","Masked Marauder"
"Suggest a superhero name for an elephant.","Trunk Thunder"
"Suggest a superhero name for a tiger.","Jungle Fury"
